filename,class_name,image_id,split
5_19_1_0001.jpg,5_19_1,10737,train
5_19_1_0002.jpg,5_19_1,1970,train
5_19_1_0004.jpg,5_19_1,21649,train
5_19_1_0005.jpg,5_19_1,20158,train
5_19_1_0006.jpg,5_19_1,18740,train
5_19_1_0007.jpg,5_19_1,12269,train
5_19_1_0009.jpg,5_19_1,10490,train
5_19_1_0011.jpg,5_19_1,50308,train
5_19_1_0012.jpg,5_19_1,33269,train
5_19_1_0013.jpg,5_19_1,9933,train
5_19_1_0016.jpg,5_19_1,2242,train
5_19_1_0018.jpg,5_19_1,10258,train
5_19_1_0020.jpg,5_19_1,19519,train
5_19_1_0021.jpg,5_19_1,31559,train
5_19_1_0022.jpg,5_19_1,37365,train
5_19_1_0023.jpg,5_19_1,2014,train
5_19_1_0024.jpg,5_19_1,33900,train
5_19_1_0025.jpg,5_19_1,17530,train
5_19_1_0026.jpg,5_19_1,46625,train
5_19_1_0027.jpg,5_19_1,39157,train
5_19_1_0028.jpg,5_19_1,45181,train
5_19_1_0030.jpg,5_19_1,28446,train
5_19_1_0032.jpg,5_19_1,29623,train
5_19_1_0034.jpg,5_19_1,21846,train
5_19_1_0038.jpg,5_19_1,55084,train
5_19_1_0040.jpg,5_19_1,44554,train
5_19_1_0042.jpg,5_19_1,24909,train
5_19_1_0044.jpg,5_19_1,14105,train
5_19_1_0048.jpg,5_19_1,10485,train
5_19_1_0049.jpg,5_19_1,10230,train
5_19_1_0051.jpg,5_19_1,10358,train
5_19_1_0052.jpg,5_19_1,25681,train
5_19_1_0053.jpg,5_19_1,25113,train
5_19_1_0054.jpg,5_19_1,37423,train
5_19_1_0055.jpg,5_19_1,21139,train
5_19_1_0056.jpg,5_19_1,55318,train
5_19_1_0057.jpg,5_19_1,3869,train
5_19_1_0058.jpg,5_19_1,48515,train
5_19_1_0060.jpg,5_19_1,32897,train
5_19_1_0062.jpg,5_19_1,26500,train
5_19_1_0064.jpg,5_19_1,33521,train
5_19_1_0065.jpg,5_19_1,23073,train
